J',nu1',nu2',nu3',Energy
0,5,0,6,-1.182612918643611e-05
0,5,0,7,0.000272364851454969
0,5,0,8,3.74075473649905e-05
0,5,0,9,2.627900681443045e-07
0,5,0,10,-9.157082959072895e-08
0,4,1,0,3.01136445379797
0,4,1,1,22.9443804573035
0,4,1,2,-13.6769160233456
0,4,1,3,3.62571005564014
0,4,1,4,0.507447771705283
0,4,1,5,0.003562778409638601
0,4,1,6,0.0001949499174348924
0,4,1,7,0.0007515446444603427
0,4,1,8,7.592754819911794e-05
0,4,1,9,2.31757259946014e-06
0,4,1,10,-5.736053401379861e-07
0,2,3,0,-0.582857884582779
0,2,3,1,-4.91363985804957
0,2,3,2,2.10290073160517
0,2,3,3,-0.800143553203844
0,2,3,4,-0.08078669335999618
0,2,3,5,0.001064961128432292
0,2,3,6,-0.0002351153061284187
0,2,3,7,-0.0001385107725953045
0,2,3,8,-8.193432928356824e-06
0,2,3,9,-3.775995742314233e-07
0,2,3,10,1.761232811778897e-07
0,0,6,0,0.750140745052619
0,0,6,1,6.28980147423486
0,0,6,2,-3.77201860956463
0,0,6,3,1.13312607861199
0,0,6,4,0.1282565086412
0,0,6,5,-0.0006448577190849647
0,0,6,6,0.0002576049152675523
0,0,6,7,0.0002051077704834692
0,0,6,8,1.56687699419317e-05
0,0,6,0,-1.65484171197772
0,0,6,1,-13.9451922598955
0,0,6,2,6.79319780258881
0,0,6,3,-2.35197398637232
0,0,6,4,-0.2436637070678
0,0,6,5,0.003444817148076269
0,0,6,6,-0.0006381614429004705
0,0,6,7,-0.000417860334912258
0,0,6,8,-2.44662271045126e-05
0,4,2,0,-0.419822509726288
0,4,2,1,-3.57793121346843
0,4,2,2,1.70947274079015
0,4,2,3,-0.792569976760323
0,4,2,4,-0.06383785811192916
0,4,2,5,0.002364336610136331
0,4,2,6,-0.0003239285598018956
0,4,2,7,-0.000126326514307478
0,4,2,8,-2.93132409072649e-06
0,6,1,0,0.524713564340757
0,6,1,1,4.64683900407976
0,6,1,2,-2.18860044482421
0,6,1,3,0.813104216577411
0,6,1,4,0.07397557195095669
0,6,1,5,-0.001610089586686393
0,6,1,6,0.0002936192721190007
0,0,7,0,0.838836413961118
0,0,7,1,7.03889670215487
0,0,7,2,-3.44509461638668
0,0,7,3,1.44751710959246
0,0,7,4,0.121816021557253
0,0,7,5,-0.003533997413325459
0,0,7,6,0.0005798725870710521
0,1,6,0,-0.223705103124914
0,1,6,1,-1.30815091795559
0,1,6,2,1.19440348084004
0,1,6,3,-0.639248817639709
0,1,6,4,-0.04546509298444031
0,1,6,5,0.001605966899318322
0,1,6,6,-0.0003252216426478606
0,7,1,0,-0.37421259109346
0,7,1,1,-3.31580729553985
0,7,1,2,1.47984401086392
0,7,1,3,-0.66162194715415
0,7,1,4,-0.05060135350271727
0,4,3,0,0.01124878608604629
0,4,3,1,-0.06465494438537045
0,4,3,2,-0.02230170101715389
0,4,3,3,0.005848333196053715
0,4,3,4,0.002013237780355767
0,4,3,5,0.000730052191499876
0,4,3,6,1.61043946933948e-05
0,0,8,0,-0.458865481800601
0,0,8,1,-3.50736854010934
0,0,8,2,2.2781215294232
0,0,8,3,-1.16732039728943
0,0,8,4,-0.08130485730685606
0,1,7,0,0.114092284691932
0,1,7,1,1.92215545922493
0,1,7,2,0.366296859722724
0,1,7,3,-0.337184851711726
0,1,7,4,-0.01553644594464174
0,3,5,0,0.05855344629308412
0,3,5,1,0.330378057988466
0,3,5,2,-0.409287304539947
0,3,5,3,0.200176450567074
0,3,5,4,0.01619918245016589
0,0,1,0,-49.0794244708933
0,0,1,1,8053.76321600776
0,0,1,2,-77.6277944385027
0,0,1,3,49.8056053615851
0,0,1,4,-7.63837328226511
0,0,1,5,-3.33254881630475
0,0,1,6,0.458090132646551
0,0,1,7,0.04486112204258147
0,0,1,8,-0.01310627865959835
0,0,1,9,-0.0004701889480616438
0,0,1,10,-0.0003634199963369032
0,0,1,11,2.991290478988836e-05
0,0,1,12,-5.781655091700472e-06
0,0,1,13,-1.537515224784648e-06
0,0,1,14,8.686521423900157e-08
0,0,1,15,3.22234121799215e-07
0,0,1,16,4.766530357689628e-07
0,2,0,0,-66.7579634178579
0,2,0,1,-39.7766318401375
